id,product_id,attribute_name,attribute_value,attribute_type,created_at
1,326,Solid Wood Options,"Teak, Oak, Walnut",text,2025-10-11 17:19:57.175258
2,326,Dimensions,20 H x 15 W x 15 D,text,2025-10-11 17:19:57.175258
